TIME DATA - SEED 4
CPU TIME,OBJ_VALUE
26644.2,4.06619e+08
26644.3,4.06137e+08
26644.5,4.06868e+08
26644.5,4.07496e+08
26644.5,4.07506e+08
26645,4.07504e+08
26645,4.07511e+08
26645.126645.1,4.07345e+089,4.05909e+
26645.126645.1,4.07345e+089,4.05909e+
826645.2,4.07511e+08
26645.3,4.07499e+08
26645.4,4.06909e+08
26645.4,4.07505e+08
26645.6,4.06394e+08
26645.7,4.07511e+08
26645.9,4.0647e+08
26645.9,4.07505e+08
26646,4.07486e+08
26646,4.07496e+08
26646.1,4.06149e+08
26646.1,4.06258e+08
26646.1,4.07499e+08
26646.1,4.07502e+08
26646.2,4.05892e+08
26646.3,4.07506e+08
26646.4,4.06291e+08
26646.5,4.05984e+08
26646.7,4.06093e+08
26646.7,4.07306e+08
26646.8,4.06139e+08
26646.9,4.063e+08
26646.9,4.05855e+08
26646.9,4.07503e+08
26647,4.07262e+08
26647,4.0745e+08
26647,4.07501e+08
26647,4.07481e+08
26647.1,4.07501e+08
26647.2,4.059e+08
26647.2,4.07511e+08
26647.2,4.07072e+08
26647.2,4.07227e+08
26647.3,4.07503e+08
26647.3,4.05926e+08
26647.3,4.07417e+08
26647.5,4.07511e+08
26647.5,4.06664e+08
26647.6,4.07511e+08
26647.7,4.07502e+08
26647.7,4.05786e+08
26647.7,4.07116e+08
26647.8,4.06328e+08
26647.8,4.07501e+08
26647.8,4.07422e+08
26647.8,4.07512e+08
26647.9,4.07466e+08
26647.9,4.07428e+08
26647.9,4.05869e+08
26648,4.06065e+08
26648,4.07511e+08
26648,4.07253e+08
26648,4.0732e+08
26648.1,4.06441e+08
26648.2,4.07511e+08
26996.9,4.07513e+08
